Burger King,Bacon Cheeseburger,27,119,grams
Burger King,Bacon Egg & Cheese Biscuit Sandwich,29,159,grams
Chipotle,Barbacoa,2,4,oz
Chipotle,White Rice,40,4,oz
KFC,Chicken Pot Pie,60,1,order size
KFC,Potato Salad,19,1,side
KFC,Country Fried Steak,22,1,order size
KFC,7UP,35,12,oz
KFC,Apple Turnover,32,81,grams
KFC,Milk (1%),10,7,oz
